,,,Wall time,Step,Value
1588818839.16744,24,10.5955848693848,,,
1588819058.47467,48,96.3366928100586,,,
1588819160.08708,51,143.15185546875,,,
1588819529.50775,62,169.942810058594,,,
1588820015.84421,77,211.864303588867,,,
1588820728.2001,100,227.093933105469,,,
1588822447.50313,161,273.349212646484,,,
1588822534.44325,164,217.995727539062,,,
1588822819.17126,173,152.210708618164,,,
1588824535.75556,235,258.65869140625,,,
1588824688.74489,240,240.250335693359,,,
1588825242.50177,261,225.038055419922,,,
1588825542.23921,273,213.547958374023,,,
1588825721.86012,279,263.430084228516,,,
1588826845.10634,314,229.480926513672,,,
1588826891.73765,316,216.835479736328,,,
1588827125.80351,324,250.914352416992,,,
1588827971.45253,353,260.362487792969,,,
1588828529.42494,373,230.714584350586,,,
1588830255.98024,427,246.909118652344,,,
1588830286.57754,428,261.715942382812,,,
1588830833.97883,448,157.426803588867,,,
1588831397.27597,466,296.075347900391,,,
1588831768.17674,480,307.133178710937,,,
1588833613.5752,542,305.459625244141,,,
1588834450.78039,569,332.922180175781,,,
1588834987.07184,585,329.571228027344,,,
1588835206.64959,592,313.259552001953,,,
1588835237.44706,593,311.440093994141,,,
1588836227.93153,626,331.438842773438,,,
1588836564.98609,640,282.603424072266,,,
1588836808.01164,648,311.107513427734,,,
1588836964.46462,653,292.483703613281,,,
1588837026.08366,655,310.596588134766,,,
1588837402.29714,667,333.572265625,,,
1588837713.56567,677,249.826232910156,,,
1588839003.27759,720,321.194152832031,,,
1588839233.55347,728,346.912811279297,,,
1588839476.53863,736,329.085784912109,,,
1588840246.28069,762,310.897857666016,,,
1588840498.50964,771,344.055297851562,,,
1588840616.02245,775,325.189483642578,,,
1588840674.68537,777,352.851623535156,,,
1588841105.45925,791,333.320770263672,,,
1588841168.41992,793,308.350646972656,,,
1588841389.39495,800,362.082397460937,,,
1588841624.08211,808,312.327667236328,,,
1588841800.04245,814,345.481292724609,,,
1588842542.48951,842,347.667846679687,,,
1588845648.35198,951,46.9947166442871,,,
1588846116.40587,968,341.568878173828,,,
1588846379.27094,977,333.973358154297,,,
1588846408.38286,978,351.437133789062,,,
1588846584.04131,984,311.269104003906,,,
1588846759.53419,990,314.995208740234,,,
1588847259.36354,1008,353.817749023437,,,
1588847346.80677,1011,345.735870361328,,,
1588847609.72055,1020,335.792999267578,,,
1588848964.18335,1069,340.200225830078,,,
1588849051.92015,1072,354.545806884766,,,
1588849227.24806,1078,356.440155029297,,,
1588849402.59214,1084,357.643737792969,,,
1588849881.76919,1099,334.738800048828,,,
1588850080.93018,1105,332.414611816406,,,
1588850247.01506,1110,350.134185791016,,,
1588851885.51819,1162,323.734588623047,,,
1588852021.58711,1167,334.443664550781,,,
1588852054.81822,1168,346.526092529297,,,
1588852562.45793,1186,353.006439208984,,,
1588852995.14862,1199,354.319244384766,,,
1588854601.89155,1250,352.84619140625,,,
1588855169.63048,1267,356.947052001953,,,
1588855840.15415,1287,351.569213867187,,,
1588856988.73849,1322,343.643676757812,,,
1588857089.7468,1325,346.586151123047,,,
1588857561.22073,1339,341.781829833984,,,
1588857695.90162,1343,346.129943847656,,,
1588859182.65613,1391,355.299987792969,,,
1588859419.42483,1398,357.087646484375,,,
1588860161.61777,1420,350.00439453125,,,
1588860566.60854,1432,355.164031982422,,,
1588860904.61486,1442,353.341033935547,,,
1588861917.22132,1472,349.756652832031,,,
1588862288.60386,1483,353.311706542969,,,
1588862559.11624,1491,345.615417480469,,,
1588862761.69419,1497,350.999816894531,,,
1588863844.56726,1529,349.105194091797,,,
1588864825.95294,1558,353.168731689453,,,
1588865368.19974,1574,351.189178466797,,,
1588865909.39757,1590,359.274566650391,,,
1588866045.01961,1594,357.712738037109,,,
1588866621.87085,1611,346.640899658203,,,
1588867818.1362,1646,354.609649658203,,,
1588869256.62908,1688,349.034057617187,,,
1588869564.23497,1697,343.506256103516,,,
1588869772.04224,1703,340.324371337891,,,
1588869942.9503,1708,337.265686035156,,,
1588870182.00042,1715,357.540008544922,,,
1588870489.65172,1724,345.422241210938,,,
1588870906.623,1738,343.685974121094,,,
1588870975.05469,1740,360.763610839844,,,
1588871077.84351,1743,338.46142578125,,,
1588871357.48715,1752,347.035980224609,,,
1588872554.18415,1787,346.24169921875,,,
1588873375.12112,1811,330.686248779297,,,
1588874092.53209,1832,346.913635253906,,,
1588874708.85366,1850,354.076995849609,,,
1588875016.89755,1859,354.715454101562,,,
1588875462.25757,1872,354.818817138672,,,
1588875564.66397,1875,363.634033203125,,,
1588875837.62868,1883,356.712524414062,,,
1588877208.15492,1923,359.654876708984,,,
1588877765.70646,1940,352.976440429688,,,
1588878106.83202,1950,355.990966796875,,,
1588878209.26479,1953,349.706756591797,,,
1588878893.16041,1973,351.320098876953,,,
1588879440.57992,1989,364.610107421875,,,
1588880028.60774,2007,353.573638916016,,,
1588880416.97321,2019,181.529220581055,,,
1588880971.64091,2036,340.101196289062,,,
1588881177.57922,2042,344.261474609375,,,
1588882450.84712,2079,347.45166015625,,,
1588882553.95552,2082,353.441589355469,,,
1588882588.23846,2083,343.134765625,,,
1588882862.32614,2091,364.542572021484,,,
1588882999.14797,2095,352.0771484375,,,
1588883239.02516,2102,364.314758300781,,,
1588885048.73951,2155,346.678863525391,,,
1588885288.26654,2162,351.923492431641,,,
1588885596.16847,2171,356.940643310547,,,
1588886350.16164,2193,355.646148681641,,,
1588886486.7435,2197,343.097930908203,,,
1588886759.13561,2205,356.540985107422,,,
1588887034.14988,2213,357.869476318359,,,
1588887170.79679,2217,364.511352539062,,,
1588887823.37552,2237,354.491668701172,,,
1588887991.95527,2242,356.421295166016,,,
1588888025.70247,2243,340.028137207031,,,
1588888194.05406,2248,352.718719482422,,,
1588888699.31484,2263,355.496734619141,,,
